   1)   0.068 us    |      get_mem_cgroup_from_mm();
   1)   0.052 us    |      try_charge();
   1)   0.877 us    |    }
   1)   0.063 us    |    _raw_spin_lock();
   1)               |    page_add_new_anon_rmap() {
   1)   0.065 us    |      __mod_node_page_state();
   1)   0.051 us    |      __page_set_anon_rmap();
   1)   0.913 us    |    }
   1)               |    mem_cgroup_commit_charge() {
   1)   0.054 us    |      mem_cgroup_charge_statistics();
   1)   0.049 us    |      memcg_check_events();
   1)   0.893 us    |    }
   1)               |    lru_cache_add_active_or_unevictable() {
   1)   0.075 us    |      __lru_cache_add();
   1)   0.537 us    |    }
   1) + 24.087 us   |  }
   1)               |  handle_mm_fault() {
   1)   0.057 us    |    mem_cgroup_from_task();
   1)               |    filemap_map_pages() {
   1)               |      alloc_set_pte() {
   1)   0.481 us    |        _raw_spin_lock();
   1)               |        page_add_file_rmap() {
   1)   0.154 us    |          lock_page_memcg();
   1)   0.070 us    |          unlock_page_memcg();
   1)   1.437 us    |        }
   1)   3.734 us    |      }
   1)               |      unlock_page() {
   1)   0.197 us    |        __wake_up_bit();
   1)   0.789 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.054 us    |          lock_page_memcg();
   1)   0.053 us    |          unlock_page_memcg();
   1)   1.254 us    |        }
   1)   1.813 us    |      }
   1)               |      unlock_page() {
   1)   0.206 us    |        __wake_up_bit();
   1)   0.726 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.050 us    |          lock_page_memcg();
   1)   0.063 us    |          unlock_page_memcg();
   1)   1.033 us    |        }
   1)   1.533 us    |      }
   1)               |      unlock_page() {
   1)   0.131 us    |        __wake_up_bit();
   1)   0.659 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.054 us    |          lock_page_memcg();
   1)   0.060 us    |          unlock_page_memcg();
   1)   1.088 us    |        }
   1)   1.631 us    |      }
   1)               |      unlock_page() {
   1)   0.129 us    |        __wake_up_bit();
   1)   0.628 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.057 us    |          lock_page_memcg();
   1)   0.056 us    |          unlock_page_memcg();
   1)   1.092 us    |        }
   1)   1.623 us    |      }
   1)               |      unlock_page() {
   1)   0.119 us    |        __wake_up_bit();
   1)   0.652 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.059 us    |          lock_page_memcg();
   1)   0.056 us    |          unlock_page_memcg();
   1)   1.091 us    |        }
   1)   1.624 us    |      }
   1)               |      unlock_page() {
   1)   0.200 us    |        __wake_up_bit();
   1)   0.732 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.049 us    |          lock_page_memcg();
   1)   0.058 us    |          unlock_page_memcg();
   1)   0.998 us    |        }
   1)   1.546 us    |      }
   1)               |      unlock_page() {
   1)   0.128 us    |        __wake_up_bit();
   1)   0.655 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.055 us    |          lock_page_memcg();
   1)   0.060 us    |          unlock_page_memcg();
   1)   1.089 us    |        }
   1)   1.645 us    |      }
   1)               |      unlock_page() {
   1)   0.120 us    |        __wake_up_bit();
   1)   0.598 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.059 us    |          lock_page_memcg();
   1)   0.057 us    |          unlock_page_memcg();
   1)   1.106 us    |        }
   1)   1.621 us    |      }
   1)               |      unlock_page() {
   1)   0.117 us    |        __wake_up_bit();
   1)   0.678 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.069 us    |          lock_page_memcg();
   1)   0.062 us    |          unlock_page_memcg();
   1)   1.550 us    |        }
   1)   2.119 us    |      }
   1)               |      unlock_page() {
   1)   0.117 us    |        __wake_up_bit();
   1)   0.642 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.057 us    |          lock_page_memcg();
   1)   0.049 us    |          unlock_page_memcg();
   1)   1.106 us    |        }
   1)   1.650 us    |      }
   1)               |      unlock_page() {
   1)   0.130 us    |        __wake_up_bit();
