   1)   0.257 us    |        _raw_spin_lock_irqsave();
   1)   0.068 us    |        __flush_itimer_signals();
   1)   0.060 us    |        __flush_itimer_signals();
   1)   0.056 us    |        _raw_spin_unlock_irqrestore();
   1)   2.343 us    |      }
   1)   0.140 us    |      set_mm_exe_file();
   1)               |      mm_release() {
   1)   0.069 us    |        uprobe_free_utask();
   1)   0.869 us    |      }
   1)   0.112 us    |      sync_mm_rss();
   1)               |      down_read() {
   1)   0.041 us    |        _cond_resched();
   1)   0.469 us    |      }
   1)   0.046 us    |      _raw_spin_lock();
   1)               |      switch_mm() {
   1)   0.289 us    |        switch_mm_irqs_off();
   1)   0.749 us    |      }
   1)   0.083 us    |      up_read();
   1)   0.224 us    |      mm_update_next_owner();
   1)               |      mmput() {
   1)   0.046 us    |        _cond_resched();
   1)   0.129 us    |        uprobe_clear_state();
   1)   0.064 us    |        exit_aio();
   1)               |        exit_mmap() {
   1)               |          lru_add_drain() {
   1)               |            lru_add_drain_cpu() {
   1)               |              pagevec_lru_move_fn() {
   1)   0.156 us    |                _raw_spin_lock_irqsave();
   1)   0.246 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.056 us    |                  __mod_node_page_state();
   1)   0.081 us    |                  __mod_zone_page_state();
   1)   0.292 us    |                  mem_cgroup_update_lru_size();
   1) + 50.147 us   |                }
   1)   0.133 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.085 us    |                  __mod_node_page_state();
   1)   0.058 us    |                  __mod_zone_page_state();
   1)   0.063 us    |                  mem_cgroup_update_lru_size();
   1)   1.624 us    |                }
   1)   0.055 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.061 us    |                  __mod_node_page_state();
   1)   0.054 us    |                  __mod_zone_page_state();
   1)   0.051 us    |                  mem_cgroup_update_lru_size();
   1)   1.559 us    |                }
   1)   0.048 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.048 us    |                  __mod_node_page_state();
   1)   0.052 us    |                  __mod_zone_page_state();
   1)   0.046 us    |                  mem_cgroup_update_lru_size();
   1)   1.370 us    |                }
   1)   0.053 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.043 us    |                  __mod_node_page_state();
   1)   0.049 us    |                  __mod_zone_page_state();
   1)   0.056 us    |                  mem_cgroup_update_lru_size();
   1)   1.353 us    |                }
   1)   0.060 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.041 us    |                  __mod_node_page_state();
   1)   0.049 us    |                  __mod_zone_page_state();
   1)   0.050 us    |                  mem_cgroup_update_lru_size();
   1)   1.358 us    |                }
   1)   0.057 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.046 us    |                  __mod_node_page_state();
   1)   0.051 us    |                  __mod_zone_page_state();
   1)   0.055 us    |                  mem_cgroup_update_lru_size();
   1)   1.456 us    |                }
   1)   0.042 us    |                mem_cgroup_page_lruvec();
   1)               |                __pagevec_lru_add_fn() {
   1)   0.054 us    |                  __mod_node_page_state();
   1)   0.055 us    |                  __mod_zone_page_state();
   1)   0.051 us    |                  mem_cgroup_update_lru_size();
   1)   1.521 us    |                }
   1)   0.075 us    |                _raw_spin_unlock_irqrestore();
   1)               |                release_pages() {
   1)   0.062 us    |                  mem_cgroup_uncharge_list();
   1)   0.083 us    |                  free_hot_cold_page_list();
   1)   1.601 us    |                }
   1) + 72.212 us   |              }
   1) + 72.918 us   |            }
   1) + 73.442 us   |          }
   1)   0.077 us    |          tlb_gather_mmu();
   1)               |          unmap_vmas() {
   1)               |            unmap_single_vma() {
   1)   0.238 us    |              uprobe_munmap();
   1)               |              unmap_page_range() {
   1)   0.181 us    |                _raw_spin_lock();
   1)   0.043 us    |                vm_normal_page();
   1)   0.045 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.061 us    |                  lock_page_memcg();
   1)   0.049 us    |                  PageHuge();
   1)   0.057 us    |                  unlock_page_memcg();
   1)   1.624 us    |                }
   1)   0.049 us    |                __tlb_remove_page_size.part.60();
   1)   0.063 us    |                vm_normal_page();
   1)   0.055 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.052 us    |                  lock_page_memcg();
   1)   0.063 us    |                  PageHuge();
   1)   0.045 us    |                  unlock_page_memcg();
   1)   1.587 us    |                }
   1)   0.056 us    |                __tlb_remove_page_size.part.60();
   1)   0.062 us    |                vm_normal_page();
   1)   0.057 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.051 us    |                  lock_page_memcg();
   1)   0.052 us    |                  PageHuge();
   1)   0.054 us    |                  unlock_page_memcg();
   1)   1.457 us    |                }
   1)   0.063 us    |                __tlb_remove_page_size.part.60();
   1)   0.048 us    |                vm_normal_page();
   1)   0.062 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.049 us    |                  lock_page_memcg();
   1)   0.040 us    |                  PageHuge();
   1)   0.071 us    |                  unlock_page_memcg();
   1)   1.372 us    |                }
   1)   0.040 us    |                __tlb_remove_page_size.part.60();
   1)   0.034 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.031 us    |                  lock_page_memcg();
   1)   0.032 us    |                  PageHuge();
   1)   0.029 us    |                  unlock_page_memcg();
   1)   0.858 us    |                }
   1)   0.032 us    |                __tlb_remove_page_size.part.60();
   1)   0.031 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.031 us    |                  lock_page_memcg();
   1)   0.034 us    |                  PageHuge();
   1)   0.034 us    |                  unlock_page_memcg();
   1)   0.851 us    |                }
   1)   0.033 us    |                __tlb_remove_page_size.part.60();
   1)   0.034 us    |                vm_normal_page();
   1)   0.033 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.030 us    |                  lock_page_memcg();
   1)   0.032 us    |                  PageHuge();
   1)   0.034 us    |                  unlock_page_memcg();
   1)   0.853 us    |                }
   1)   0.032 us    |                __tlb_remove_page_size.part.60();
   1)   0.029 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.030 us    |                  lock_page_memcg();
   1)   0.034 us    |                  PageHuge();
   1)   0.032 us    |                  unlock_page_memcg();
   1)   0.858 us    |                }
   1)   0.031 us    |                __tlb_remove_page_size.part.60();
   1)   0.034 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.029 us    |                  lock_page_memcg();
   1)   0.033 us    |                  PageHuge();
   1)   0.034 us    |                  unlock_page_memcg();
   1)   0.855 us    |                }
   1)               |                __tlb_remove_page_size.part.60() {
   1)               |                  __get_free_pages() {
   1)               |                    alloc_pages_current() {
   1)   0.066 us    |                      get_task_policy.part.31();
   1)   0.033 us    |                      policy_nodemask();
   1)   0.047 us    |                      policy_zonelist();
   1)               |                      __alloc_pages_nodemask() {
   1)               |                        get_page_from_freelist() {
   1)   0.040 us    |                          __zone_watermark_ok();
   1)   0.033 us    |                          __inc_zone_state();
   1)   0.033 us    |                          __inc_zone_state();
   1)   1.490 us    |                        }
   1)   1.841 us    |                      }
   1)   3.258 us    |                    }
   1)   3.565 us    |                  }
   1)   4.369 us    |                }
   1)   0.031 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.031 us    |                  lock_page_memcg();
   1)   0.034 us    |                  PageHuge();
   1)   0.032 us    |                  unlock_page_memcg();
   1)   0.856 us    |                }
   1)   0.045 us    |                __tlb_remove_page_size.part.60();
   1)   0.030 us    |                vm_normal_page();
   1)   0.032 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.032 us    |                  lock_page_memcg();
